title,body,source,timestamp,tags
Pencatatan Perdana Saham PT Dunia Virtual Online Tbk (AREA) di Bursa Efek Indonesia,"Pada Senin, 1 April 2024, pembukaan perdagangan Bursa Efek Indonesia (BEI) dilakukan oleh PT Dunia Virtual Online Tbk. (AREA) dalam rangka pencatatan perdana saham di Papan Pengembangan BEI. AREA menjadi perusahaan ke-20 yang tercatat di BEI pada tahun 2024.
",/api/api/publication/news/10593,2024-04-01T00:53:18,AREA
Pencatatan Obligasi Berkelanjutan II Lontar Papyrus Pulp & Paper Industry Tahap III Tahun 2024 pada tanggal 28 Maret 2024,"Pada 28 Maret 2024, Obligasi Berkelanjutan II Lontar Papyrus Pulp & Paper Industry Tahap III Tahun 2024 yang diterbitkan oleh PT Lontar Papyrus Pulp & Paper Industry mulai dicatatkan di Bursa Efek Indonesia (BEI).",/api/api/publication/news/10591,2024-03-28T01:00:00,LPPI
Pencatatan Obligasi Berkelanjutan VII Sarana Multigriya Finansial Tahap IV Tahun 2024 dan Obligasi Berwawasan Sosial Berkelanjutan I Sarana Multigriya Finansial Tahap II Tahun 2024 pada tanggal 28 Maret 2024,"Pada 28 Maret 2024, Obligasi Berkelanjutan VII Sarana Multigriya  Finansial Tahap IV Tahun 2024 dan Obligasi Berwawasan Sosial Berkelanjutan I Sarana Multigriya Finansial Tahap II Tahun 2024 yang diterbitkan oleh PT Sarana Multigriya Finansial (Persero) mulai dicatatkan di Bursa Efek Indonesia (BEI).",/api/api/publication/news/10589,2024-03-28T00:00:00,SMFP
Karyawan BEI Berbagi 2024,"Pada Rabu, 27 Maret 2024, Karyawan BEI yang tergabung dalam Serikat Pekerja BEI kembali menyelenggarakan serah terima 'Karyawan BEI Berbagi"". Sama seperti tahun-tahun sebelumnya, acara ini diinisiasi oleh Serikat Pekerja BEI dengan sebelumnya mengumpulkan sumbangan dari seluruh karyawan untuk disalurkan kepada rekan-rekan pekerja lain (Cleaning Service, Security, dll.) yang bekerja di lingkungan gedung BEI.",/api/api/publication/news/10601,2024-03-27T15:29:00,
IDX Channel Sharia Economic Festival 2024,"Dalam rangka meningkatkan literasi dan inklusi pasar modal syariah, IDX Channel melakukan inisiatif untuk menyelenggarakan kegiatan Sharia Economic Festival 2024 yang bertujuan untuk mengedukasi dan mensosialisasikan manfaat dalam pemanfaatan serta berinvestasi di produk-produk berbasis syariah. Festival ini diharapkan dapat meningkatkan literasi keuangan syariah di Indonesia, sekaligus mendukung rencana Pemerintah dalam menjadikan Indonesia sebagai Pusat Ekonomi dan Keuangan Syariah Dunia. ",/api/api/publication/news/10603,2024-03-26T12:00:00,
Investasi Cerdas Bersama Tentara Korem 162/Wira Bhakti,"Pada Jumat (22/3), telah dilaksanakan Program Kantor Perwakilan Bursa Efek Indonesia NTB bekerja sama dengan (Batch 1) komando Resor Militer 162/Wira Bhakti di Aula Korem 162/WB.",/api/api/publication/news/10611,2024-03-22T12:00:00,
Pencatatan Obligasi Berwawasan Lingkungan Berkelanjutan I Bank BRI Tahap III Tahun 2024 pada tanggal 21 Maret 2024,"Pada 21 Maret 2024, Obligasi Berwawasan Lingkungan Berkelanjutan I Bank BRI Tahap III Tahun 2024 yang diterbitkan oleh PT Bank Rakyat Indonesia (Persero) Tbk mulai dicatatkan di Bursa Efek Indonesia (BEI).",/api/api/publication/news/10581,2024-03-21T00:05:00,BBRI
Pencatatan Obligasi Berkelanjutan V PNM Tahap II Tahun 2024 pada tanggal 21 Maret 2024,"Pada 21 Maret 2024, Obligasi Berkelanjutan V PNM Tahap II Tahun 2024 yang diterbitkan oleh PT Permodalan Nasional Madani mulai dicatatkan di Bursa Efek Indonesia (BEI).",/api/api/publication/news/10579,2024-03-21T00:00:00,PNMP
Webinar GERAK (Gebyar Ramadhan Keuangan) Syariah Jawa Timur,"Pada Selasa (19/3), dalam rangka menyambut bulan Ramadhan 1445 H sekaligus meningkatkan literasi keuangan tentang Industri Jasa Keuangan Syariah, OJK Provinsi Jawa Timur bersama dengan FKIJK Jawa Timur menyelenggarakan kegiatan Webinar Literasi Keuangan Syariah - ""GERAK"" Syariah dengan meng-hadirkan Kantor Perwakilan BEI Jawa Timur sebagai salah satu pembicara.
",/api/api/publication/news/10609,2024-03-19T12:00:00,
Sekolah Pasar Modal di Pesantren Ramadhan Universitas Balikpapan,"Dalam rangka menyambut bulan Ramadhan 1445 H dan meningkatkan literasi keuangan, Kantor Perwakilan Bursa Efek Indonesia Kalimantan dan Universitas Balikpapan menyelenggarakan Sekolah Pasar Modal di  rangkaian kegiatan Pesantren Ramadhan yang diikuti 300 orang Pelajar dan Mahasiswa sekota Balikpapan, yang berlangsung di Masjid Amirulhaq Uniba, pada hari Minggu 17 Maret 2024. Dalam kegiatan tersebut BEI dan Phintraco Sekuritas menjadi Pemateri, Setelah acara dilanjutkan dengan Buka Puasa Bersama dan Shalat Magrib berjamaah
",/api/api/publication/news/10607,2024-03-17T12:00:00,
